PO_ID,PO_Date,Vendor_Name,Vendor_Category,Business_Unit,Cost_Center,Item_Category,Quantity,Unit_Price,Currency,Payment_Terms,PO_Status,Buyer,Region,Total_PO_Amount
PO100032,06-07-2024,ABC Supplies,Professional Services,Manufacturing,CC1002,Software License,30,44096,USD,Net 45,Closed,S Nair,North America,1322880
PO100033,27-09-2024,ABC Supplies,Professional Services,IT,CC2001,Server,21,23671,USD,Net 60,Closed,A Mehta,EMEA,497091
PO100034,08-07-2024,Omega Corp,Professional Services,Manufacturing,CC1001,Server,31,35405,INR,Net 30,Closed,S Nair,APAC,1097555
PO100035,23-06-2024,Omega Corp,Facilities,Manufacturing,CC2001,Laptop,24,21329,INR,Net 45,Open,K Iyer,EMEA,511896
PO100036,20-02-2024,Zenith Traders,Professional Services,Manufacturing,CC1002,Software License,20,34554,INR,Net 30,Closed,K Iyer,EMEA,691080
PO100037,29-12-2024,Delta Services,IT Hardware,Finance,CC3001,Software License,37,48978,INR,Net 45,Closed,K Iyer,India,1812186
PO100038,24-02-2024,Zenith Traders,Logistics,IT,CC1001,Consulting,4,44639,USD,Net 60,Open,K Iyer,India,178556
PO100039,31-08-2024,Delta Services,IT Hardware,IT,CC1001,Consulting,28,49213,USD,Net 60,Closed,R Sharma,EMEA,1377964
PO100040,15-11-2024,Zenith Traders,IT Hardware,Sales,CC1003,Laptop,44,30234,USD,Net 60,Closed,R Sharma,India,1330296
PO100041,10-05-2024,Prime Vendors,Professional Services,Operations,CC1003,Laptop,20,7552,INR,Net 45,Closed,P Verma,India,151040
PO100042,02-11-2024,Omega Corp,Logistics,Manufacturing,CC3001,Office Supplies,24,4154,INR,Net 30,Closed,A Mehta,India,99696
PO100043,14-05-2024,ABC Supplies,Logistics,HR,CC1001,Consulting,49,23986,INR,Net 30,Closed,S Nair,North America,1175314
PO100044,21-01-2024,Delta Services,Logistics,Operations,CC3001,Server,32,19243,USD,Net 30,Cancelled,S Nair,North America,615776
PO100045,24-11-2024,Delta Services,Facilities,Operations,CC1003,Software License,41,48868,INR,Net 45,Closed,R Sharma,EMEA,2003588
PO100046,15-06-2024,ABC Supplies,Professional Services,IT,CC1003,Laptop,36,24989,USD,Net 45,Open,S Nair,India,899604
PO100047,30-09-2024,Zenith Traders,Logistics,Operations,CC1001,Software License,34,9136,INR,Net 45,Closed,R Sharma,North America,310624
PO100048,29-03-2024,Delta Services,Facilities,Manufacturing,CC2001,Software License,36,6941,USD,Net 45,Closed,P Verma,EMEA,249876
PO100049,11-11-2024,Prime Vendors,IT Software,Manufacturing,CC1002,Office Supplies,2,25111,USD,Net 45,Cancelled,A Mehta,India,50222
PO100050,14-01-2024,Omega Corp,IT Software,Finance,CC1003,Consulting,15,42935,INR,Net 30,Closed,P Verma,APAC,644025
PO100051,29-08-2024,ABC Supplies,Facilities,Manufacturing,CC1003,Laptop,34,12649,INR,Net 45,Open,K Iyer,India,430066
PO100052,21-09-2024,Omega Corp,Facilities,Manufacturing,CC2001,Software License,36,35066,USD,Net 45,Closed,K Iyer,India,1262376
PO100053,11-12-2024,Delta Services,Professional Services,IT,CC2001,Laptop,6,42868,USD,Net 30,Closed,K Iyer,North America,257208
PO100054,22-02-2024,Delta Services,Professional Services,Manufacturing,CC3001,Server,39,22175,INR,Net 45,Cancelled,P Verma,EMEA,864825
PO100055,05-12-2024,ABC Supplies,IT Software,Finance,CC3001,Office Supplies,42,5995,INR,Net 30,Cancelled,S Nair,EMEA,251790
PO100056,01-04-2024,Prime Vendors,Logistics,HR,CC1002,Server,12,43168,USD,Net 30,Closed,A Mehta,North America,518016
PO100057,20-09-2024,Global Tech,IT Software,IT,CC1002,Laptop,3,14173,INR,Net 60,Open,K Iyer,India,42519
PO100058,04-02-2024,ABC Supplies,Logistics,HR,CC1001,Laptop,45,11630,USD,Net 60,Closed,K Iyer,APAC,523350
PO100059,24-07-2024,Global Tech,Logistics,IT,CC3001,Consulting,18,23168,USD,Net 60,Open,K Iyer,India,417024
PO100060,21-03-2024,Zenith Traders,Professional Services,Sales,CC1003,Software License,40,15722,INR,Net 60,Open,A Mehta,India,628880
PO100061,19-02-2024,Global Tech,IT Hardware,Operations,CC3001,Software License,21,24169,INR,Net 45,Closed,K Iyer,APAC,507549
PO100062,25-12-2024,Prime Vendors,IT Hardware,Sales,CC1003,Server,15,34568,INR,Net 60,Open,A Mehta,North America,518520
PO100063,02-01-2024,Zenith Traders,Facilities,Manufacturing,CC2001,Office Supplies,33,23753,INR,Net 30,Closed,K Iyer,EMEA,783849
PO100064,23-02-2024,Global Tech,Professional Services,HR,CC3001,Software License,35,9935,INR,Net 45,Cancelled,P Verma,North America,347725
PO100065,15-04-2024,Zenith Traders,Logistics,Manufacturing,CC2001,Consulting,26,29052,USD,Net 60,Closed,P Verma,North America,755352
PO100066,16-09-2024,Global Tech,IT Hardware,Operations,CC1002,Server,8,37884,USD,Net 30,Open,A Mehta,India,303072
PO100067,05-11-2024,Prime Vendors,Logistics,IT,CC1002,Server,36,16893,INR,Net 45,Cancelled,P Verma,EMEA,608148
PO100068,09-07-2024,Global Tech,IT Hardware,Operations,CC1001,Consulting,48,11117,INR,Net 45,Open,A Mehta,EMEA,533616
PO100069,05-08-2024,Global Tech,IT Hardware,Finance,CC3001,Office Supplies,30,39020,INR,Net 60,Closed,P Verma,North America,1170600
PO100070,13-02-2024,Global Tech,IT Hardware,Operations,CC2001,Consulting,23,10352,USD,Net 45,Cancelled,P Verma,APAC,238096
PO100071,10-06-2024,ABC Supplies,Professional Services,Finance,CC1003,Office Supplies,42,31901,INR,Net 30,Cancelled,A Mehta,North America,1339842
PO100072,20-07-2024,ABC Supplies,IT Software,Operations,CC1002,Consulting,44,6795,INR,Net 45,Closed,S Nair,APAC,298980
PO100073,26-09-2024,ABC Supplies,Logistics,Finance,CC1002,Consulting,14,36493,USD,Net 30,Closed,P Verma,EMEA,510902
PO100074,16-12-2024,Prime Vendors,Professional Services,HR,CC1003,Laptop,14,34584,USD,Net 45,Open,K Iyer,North America,484176
PO100075,30-10-2024,Zenith Traders,Professional Services,Manufacturing,CC2001,Server,2,45605,INR,Net 60,Closed,S Nair,India,91210
PO100076,27-09-2024,Delta Services,Professional Services,Manufacturing,CC2001,Consulting,37,40075,INR,Net 30,Closed,A Mehta,North America,1482775
PO100077,02-08-2024,Global Tech,Professional Services,Sales,CC3001,Consulting,5,36951,INR,Net 45,Closed,S Nair,EMEA,184755
PO100078,08-09-2024,Global Tech,Professional Services,Manufacturing,CC3001,Software License,38,7727,USD,Net 45,Open,R Sharma,India,293626
PO100079,08-07-2024,Prime Vendors,Facilities,IT,CC1001,Server,45,32410,INR,Net 45,Open,R Sharma,India,1458450
PO100080,22-10-2024,Global Tech,Logistics,Operations,CC1002,Software License,41,36541,INR,Net 30,Open,P Verma,APAC,1498181
PO100081,31-07-2024,ABC Supplies,Professional Services,Sales,CC3001,Server,47,23884,INR,Net 30,Closed,P Verma,India,1122548
PO100082,26-07-2024,Delta Services,Logistics,IT,CC2001,Software License,14,645,USD,Net 30,Closed,K Iyer,India,9030
PO100083,24-08-2024,Omega Corp,Facilities,IT,CC1003,Consulting,39,38278,USD,Net 60,Cancelled,S Nair,North America,1492842
PO100084,03-12-2024,Global Tech,Facilities,Finance,CC2001,Consulting,25,16535,INR,Net 60,Closed,R Sharma,EMEA,413375
PO100085,22-02-2024,ABC Supplies,Logistics,Manufacturing,CC1002,Laptop,20,3540,INR,Net 30,Open,P Verma,APAC,70800
PO100086,06-10-2024,Omega Corp,IT Hardware,HR,CC2001,Software License,2,42922,USD,Net 45,Closed,S Nair,North America,85844
PO100087,04-08-2024,Delta Services,IT Software,HR,CC1001,Office Supplies,39,26660,USD,Net 60,Closed,P Verma,India,1039740
PO100088,08-09-2024,Omega Corp,IT Hardware,Sales,CC1002,Laptop,6,18133,USD,Net 30,Closed,P Verma,India,108798
PO100089,06-07-2024,ABC Supplies,IT Hardware,HR,CC1003,Software License,17,29844,USD,Net 45,Closed,R Sharma,APAC,507348
PO100090,10-02-2024,Zenith Traders,IT Hardware,Operations,CC1001,Software License,25,17514,USD,Net 60,Closed,R Sharma,EMEA,437850
PO100091,05-06-2024,Zenith Traders,Professional Services,HR,CC1002,Laptop,28,15496,USD,Net 45,Closed,P Verma,APAC,433888
PO100092,15-01-2024,Omega Corp,Facilities,Sales,CC1003,Consulting,2,49604,USD,Net 45,Open,A Mehta,North America,99208
PO100093,27-10-2024,Prime Vendors,IT Hardware,HR,CC1001,Software License,35,42121,USD,Net 45,Open,P Verma,APAC,1474235
PO100094,05-03-2024,Omega Corp,Facilities,Operations,CC1001,Consulting,37,12195,USD,Net 45,Closed,P Verma,India,451215
PO100095,10-12-2024,Global Tech,Logistics,Finance,CC1002,Laptop,5,3352,INR,Net 60,Open,K Iyer,North America,16760
PO100096,22-11-2024,Global Tech,IT Software,Sales,CC3001,Consulting,1,16514,INR,Net 60,Closed,K Iyer,India,16514
PO100097,09-01-2024,Zenith Traders,Logistics,Finance,CC1001,Server,40,27542,INR,Net 60,Open,K Iyer,EMEA,1101680
PO100098,09-12-2024,Prime Vendors,Logistics,Finance,CC1001,Office Supplies,12,34255,USD,Net 30,Closed,A Mehta,India,411060
PO100099,08-05-2024,ABC Supplies,Professional Services,Finance,CC1003,Software License,36,40890,INR,Net 60,Open,A Mehta,India,1472040
PO100100,15-05-2024,Global Tech,IT Software,IT,CC2001,Office Supplies,45,24211,USD,Net 45,Closed,P Verma,APAC,1089495
PO100101,03-03-2024,Zenith Traders,Logistics,Manufacturing,CC1002,Consulting,23,26622,USD,Net 60,Cancelled,K Iyer,India,612306
PO100102,18-05-2024,Delta Services,Logistics,IT,CC1002,Software License,47,9660,INR,Net 45,Open,A Mehta,North America,454020
PO100103,21-03-2024,Zenith Traders,IT Software,Manufacturing,CC3001,Consulting,31,27713,USD,Net 30,Open,R Sharma,North America,859103
PO100104,11-06-2024,Global Tech,IT Software,Finance,CC3001,Server,11,39920,INR,Net 45,Closed,P Verma,EMEA,439120
PO100105,15-10-2024,Global Tech,Logistics,Sales,CC1002,Laptop,10,7921,INR,Net 45,Closed,S Nair,North America,79210
PO100106,17-09-2024,Zenith Traders,IT Software,Manufacturing,CC3001,Software License,3,21900,INR,Net 45,Open,P Verma,APAC,65700
PO100107,18-08-2024,ABC Supplies,Logistics,Operations,CC1003,Server,14,34037,USD,Net 30,Closed,S Nair,EMEA,476518
PO100108,10-02-2024,Omega Corp,Logistics,Operations,CC1002,Server,16,18227,INR,Net 60,Open,K Iyer,North America,291632
PO100109,28-01-2024,Global Tech,Professional Services,HR,CC3001,Software License,10,47382,USD,Net 60,Closed,S Nair,APAC,473820
PO100110,14-05-2024,Zenith Traders,IT Hardware,Manufacturing,CC1002,Consulting,29,4858,INR,Net 30,Closed,K Iyer,North America,140882
PO100111,19-07-2024,Zenith Traders,Logistics,Sales,CC2001,Server,10,28982,INR,Net 45,Closed,R Sharma,North America,289820
PO100112,23-11-2024,Prime Vendors,Facilities,IT,CC1001,Office Supplies,12,32617,INR,Net 60,Cancelled,S Nair,India,391404
PO100113,24-09-2024,Omega Corp,IT Hardware,Finance,CC1002,Server,30,23664,USD,Net 30,Open,P Verma,North America,709920
PO100114,02-02-2024,Delta Services,IT Hardware,HR,CC1001,Consulting,41,32410,USD,Net 60,Closed,K Iyer,North America,1328810
PO100115,17-02-2024,ABC Supplies,IT Hardware,Operations,CC3001,Consulting,1,32996,USD,Net 30,Open,P Verma,APAC,32996
PO100116,02-03-2024,Delta Services,Professional Services,IT,CC1001,Office Supplies,5,44811,INR,Net 45,Closed,A Mehta,APAC,224055
PO100117,03-08-2024,Omega Corp,Logistics,IT,CC1002,Server,20,29871,INR,Net 60,Closed,K Iyer,India,597420
PO100118,19-10-2024,Omega Corp,Professional Services,Finance,CC2001,Consulting,8,38967,USD,Net 30,Closed,S Nair,North America,311736
PO100119,08-04-2024,Omega Corp,Logistics,Manufacturing,CC3001,Software License,43,18125,USD,Net 60,Open,K Iyer,India,779375
PO100120,20-06-2024,Delta Services,Professional Services,Operations,CC1002,Laptop,12,34393,USD,Net 60,Open,P Verma,North America,412716
PO100121,25-12-2024,Omega Corp,Professional Services,Sales,CC3001,Laptop,1,11293,USD,Net 60,Closed,R Sharma,EMEA,11293
PO100122,01-08-2024,Zenith Traders,Facilities,IT,CC1003,Laptop,20,31507,USD,Net 60,Closed,K Iyer,EMEA,630140
PO100123,04-02-2024,Delta Services,Professional Services,Finance,CC1001,Server,28,26266,USD,Net 30,Open,S Nair,India,735448
PO100124,14-08-2024,Omega Corp,IT Software,Sales,CC1003,Office Supplies,43,40032,INR,Net 45,Closed,A Mehta,India,1721376
PO100125,10-04-2024,Zenith Traders,Facilities,Manufacturing,CC1002,Consulting,37,12823,USD,Net 30,Open,R Sharma,India,474451
PO100126,10-05-2024,Prime Vendors,Professional Services,Operations,CC2001,Software License,47,46299,INR,Net 30,Closed,A Mehta,APAC,2176053
PO100127,13-09-2024,Omega Corp,IT Hardware,Manufacturing,CC3001,Software License,37,47320,INR,Net 30,Closed,K Iyer,APAC,1750840
PO100128,05-01-2024,Delta Services,IT Software,IT,CC1001,Server,12,45908,USD,Net 45,Closed,P Verma,APAC,550896
PO100129,05-08-2024,Global Tech,IT Software,Sales,CC3001,Laptop,37,8343,USD,Net 60,Open,P Verma,India,308691
PO100130,11-09-2024,Omega Corp,IT Software,Sales,CC1002,Server,49,14710,INR,Net 60,Closed,S Nair,North America,720790
PO100131,24-12-2024,Global Tech,Facilities,Sales,CC3001,Office Supplies,49,16956,USD,Net 60,Open,P Verma,EMEA,830844
PO100132,09-10-2024,Zenith Traders,Professional Services,IT,CC1001,Office Supplies,44,31867,USD,Net 45,Cancelled,R Sharma,India,1402148
PO100133,25-07-2024,Prime Vendors,Professional Services,IT,CC1002,Consulting,28,10606,INR,Net 60,Open,P Verma,APAC,296968
PO100134,15-01-2024,ABC Supplies,IT Hardware,Manufacturing,CC3001,Consulting,47,38457,INR,Net 45,Closed,S Nair,APAC,1807479
PO100135,11-12-2024,Prime Vendors,IT Hardware,HR,CC2001,Office Supplies,15,2972,INR,Net 60,Cancelled,K Iyer,India,44580
PO100136,11-02-2024,Omega Corp,IT Software,Manufacturing,CC1002,Office Supplies,6,7204,USD,Net 60,Closed,K Iyer,India,43224
PO100137,27-06-2024,Global Tech,IT Hardware,Operations,CC1002,Office Supplies,44,4213,INR,Net 30,Closed,P Verma,APAC,185372
PO100138,03-03-2024,Global Tech,Facilities,Finance,CC2001,Server,20,5551,USD,Net 45,Closed,A Mehta,North America,111020
PO100139,17-12-2024,Delta Services,Professional Services,Sales,CC1003,Office Supplies,14,11256,INR,Net 30,Cancelled,K Iyer,APAC,157584
PO100140,18-08-2024,Global Tech,IT Software,HR,CC1001,Software License,2,2975,INR,Net 30,Closed,P Verma,APAC,5950
PO100141,28-08-2024,Delta Services,IT Hardware,Finance,CC1003,Laptop,9,36878,INR,Net 30,Closed,S Nair,India,331902
PO100142,21-02-2024,Zenith Traders,Facilities,HR,CC3001,Office Supplies,37,4755,USD,Net 45,Closed,P Verma,North America,175935
PO100143,05-04-2024,ABC Supplies,Facilities,Manufacturing,CC2001,Laptop,20,14984,USD,Net 45,Closed,K Iyer,APAC,299680
PO100144,09-08-2024,Omega Corp,IT Hardware,IT,CC1003,Server,26,35003,INR,Net 60,Closed,S Nair,APAC,910078
PO100145,18-08-2024,Delta Services,Professional Services,Sales,CC1002,Laptop,29,8758,INR,Net 30,Closed,P Verma,EMEA,253982
PO100146,24-08-2024,ABC Supplies,IT Hardware,Manufacturing,CC3001,Server,1,41247,INR,Net 60,Open,R Sharma,India,41247
PO100147,22-05-2024,Global Tech,IT Software,Finance,CC3001,Software License,35,35696,USD,Net 30,Open,S Nair,EMEA,1249360
PO100148,19-06-2024,Global Tech,IT Hardware,Finance,CC1003,Server,6,45613,INR,Net 45,Open,R Sharma,EMEA,273678
PO100149,29-01-2024,ABC Supplies,Facilities,Finance,CC1003,Server,37,40694,USD,Net 45,Open,A Mehta,APAC,1505678
PO100150,05-02-2024,Global Tech,IT Hardware,Finance,CC2001,Consulting,5,9033,INR,Net 45,Open,S Nair,India,45165
PO100151,13-01-2024,Zenith Traders,Professional Services,Finance,CC1001,Office Supplies,33,33081,INR,Net 30,Closed,R Sharma,North America,1091673
PO100152,08-06-2024,Zenith Traders,Logistics,HR,CC1003,Office Supplies,49,5749,INR,Net 45,Open,K Iyer,APAC,281701
PO100153,22-11-2024,ABC Supplies,IT Hardware,Manufacturing,CC1003,Software License,14,19701,INR,Net 30,Closed,K Iyer,North America,275814
PO100154,05-07-2024,Delta Services,Professional Services,Sales,CC1002,Software License,12,10186,INR,Net 60,Open,A Mehta,North America,122232
PO100155,30-08-2024,Delta Services,Professional Services,IT,CC3001,Office Supplies,42,47377,INR,Net 30,Open,S Nair,India,1989834
PO100156,26-03-2024,ABC Supplies,Facilities,IT,CC1001,Consulting,20,32507,USD,Net 60,Closed,S Nair,EMEA,650140
PO100157,10-10-2024,Delta Services,Professional Services,Manufacturing,CC1002,Office Supplies,24,1161,INR,Net 30,Closed,S Nair,India,27864
PO100158,06-03-2024,Delta Services,Professional Services,Manufacturing,CC2001,Consulting,43,45343,USD,Net 60,Open,A Mehta,North America,1949749
PO100159,18-06-2024,Zenith Traders,Professional Services,IT,CC2001,Software License,34,30637,INR,Net 45,Closed,S Nair,APAC,1041658
PO100160,14-02-2024,Delta Services,Professional Services,IT,CC1003,Laptop,25,48056,INR,Net 60,Closed,K Iyer,North America,1201400
PO100161,02-03-2024,Prime Vendors,IT Software,HR,CC1003,Software License,29,43328,USD,Net 45,Closed,R Sharma,APAC,1256512
PO100162,13-05-2024,Omega Corp,IT Software,Operations,CC2001,Software License,39,49104,INR,Net 45,Closed,K Iyer,APAC,1915056
PO100163,10-10-2024,Global Tech,Facilities,Sales,CC1003,Server,31,11026,USD,Net 60,Cancelled,K Iyer,India,341806
PO100164,28-01-2024,Prime Vendors,IT Hardware,Finance,CC1001,Server,47,3874,USD,Net 30,Closed,R Sharma,North America,182078
PO100165,17-04-2024,Delta Services,Professional Services,Operations,CC1003,Server,43,26092,INR,Net 30,Closed,K Iyer,EMEA,1121956
PO100166,13-02-2024,Zenith Traders,IT Hardware,Manufacturing,CC3001,Server,23,29482,USD,Net 30,Closed,A Mehta,North America,678086
PO100167,05-12-2024,ABC Supplies,IT Hardware,IT,CC1003,Consulting,44,707,USD,Net 30,Open,R Sharma,North America,31108
PO100168,12-10-2024,Delta Services,Facilities,Operations,CC1002,Office Supplies,38,35933,INR,Net 30,Closed,K Iyer,EMEA,1365454
PO100169,26-11-2024,Zenith Traders,Professional Services,Sales,CC1001,Laptop,20,23697,USD,Net 45,Open,P Verma,India,473940
PO100170,07-05-2024,Omega Corp,Professional Services,Manufacturing,CC1002,Software License,23,33900,INR,Net 30,Closed,K Iyer,North America,779700
PO100171,13-12-2024,Delta Services,Logistics,Finance,CC1002,Consulting,45,3583,INR,Net 45,Closed,A Mehta,North America,161235
PO100172,18-08-2024,ABC Supplies,IT Hardware,Finance,CC3001,Laptop,16,29828,INR,Net 45,Closed,S Nair,APAC,477248
PO100173,08-07-2024,Zenith Traders,IT Hardware,Sales,CC1001,Consulting,42,46979,INR,Net 45,Open,K Iyer,North America,1973118
PO100174,12-08-2024,Zenith Traders,IT Software,Sales,CC1001,Consulting,8,43391,USD,Net 60,Open,S Nair,EMEA,347128
PO100175,09-10-2024,Zenith Traders,Logistics,IT,CC1001,Software License,21,20603,INR,Net 60,Closed,P Verma,APAC,432663
PO100176,30-04-2024,Omega Corp,IT Software,Finance,CC1001,Office Supplies,1,40391,INR,Net 45,Closed,K Iyer,India,40391
PO100177,25-04-2024,Delta Services,IT Software,Manufacturing,CC1001,Server,8,11254,USD,Net 60,Closed,R Sharma,APAC,90032
PO100178,20-08-2024,Omega Corp,IT Software,Operations,CC3001,Office Supplies,29,34947,INR,Net 30,Open,S Nair,EMEA,1013463
PO100179,15-09-2024,Global Tech,Facilities,Manufacturing,CC1003,Software License,32,16401,INR,Net 30,Closed,P Verma,EMEA,524832
PO100180,24-12-2024,Global Tech,Facilities,HR,CC1002,Software License,38,33504,USD,Net 45,Open,R Sharma,APAC,1273152
PO100181,16-07-2024,Delta Services,IT Software,HR,CC1001,Software License,5,7946,USD,Net 30,Cancelled,R Sharma,India,39730
PO100182,16-05-2024,Omega Corp,Logistics,Sales,CC1003,Laptop,47,37711,USD,Net 45,Open,R Sharma,APAC,1772417
PO100183,13-11-2024,ABC Supplies,IT Hardware,IT,CC1003,Office Supplies,22,48731,USD,Net 45,Closed,R Sharma,India,1072082
PO100184,13-06-2024,Zenith Traders,Logistics,HR,CC1002,Office Supplies,47,29801,USD,Net 30,Open,K Iyer,APAC,1400647
PO100185,12-08-2024,Zenith Traders,Professional Services,Finance,CC3001,Consulting,34,26616,USD,Net 60,Cancelled,K Iyer,EMEA,904944
PO100186,02-11-2024,Delta Services,Facilities,Manufacturing,CC2001,Consulting,1,41823,USD,Net 30,Closed,K Iyer,North America,41823
PO100187,21-08-2024,Global Tech,IT Hardware,Manufacturing,CC2001,Consulting,26,19252,INR,Net 30,Open,P Verma,North America,500552
PO100188,20-06-2024,Global Tech,IT Hardware,Sales,CC1003,Software License,43,32876,USD,Net 45,Closed,P Verma,India,1413668
PO100189,31-05-2024,Zenith Traders,Professional Services,Operations,CC1002,Office Supplies,10,17169,USD,Net 45,Open,P Verma,India,171690
PO100190,10-11-2024,Delta Services,Professional Services,Sales,CC2001,Software License,30,33416,USD,Net 45,Open,A Mehta,India,1002480
PO100191,08-06-2024,Omega Corp,IT Software,Operations,CC1003,Laptop,18,13895,INR,Net 45,Cancelled,P Verma,EMEA,250110
PO100192,05-04-2024,Global Tech,Facilities,Sales,CC3001,Consulting,17,20921,INR,Net 60,Closed,K Iyer,APAC,355657
PO100193,20-08-2024,Omega Corp,Facilities,Sales,CC2001,Software License,26,26842,USD,Net 60,Closed,K Iyer,EMEA,697892
PO100194,28-06-2024,Global Tech,Logistics,Sales,CC1003,Software License,8,5395,USD,Net 60,Closed,A Mehta,North America,43160
PO100195,22-04-2024,Global Tech,IT Software,Operations,CC1003,Laptop,47,11523,USD,Net 45,Closed,A Mehta,India,541581
PO100196,13-11-2024,Prime Vendors,IT Software,Operations,CC1001,Server,40,11199,INR,Net 45,Open,P Verma,APAC,447960
PO100197,21-02-2024,Global Tech,IT Software,Sales,CC3001,Office Supplies,49,10215,INR,Net 45,Open,S Nair,North America,500535
PO100198,24-09-2024,ABC Supplies,IT Software,HR,CC1001,Server,12,19669,USD,Net 60,Closed,A Mehta,North America,236028
PO100199,21-10-2024,Delta Services,Facilities,IT,CC1002,Consulting,27,16663,INR,Net 45,Cancelled,R Sharma,North America,449901
PO100200,22-04-2024,Delta Services,Facilities,IT,CC1001,Software License,8,6282,USD,Net 30,Open,K Iyer,EMEA,50256
PO100201,10-04-2024,Omega Corp,IT Software,IT,CC1001,Laptop,25,23141,INR,Net 30,Open,R Sharma,India,578525
PO100202,22-04-2024,Global Tech,Logistics,Operations,CC2001,Laptop,46,19292,INR,Net 45,Closed,K Iyer,North America,887432
